@relation review_class_seqential

@attribute customer {1026192,284904,320562,774805,674319,558146,559491,585164,124460,223149,609502,107718,122004,108057,107929,1636050,107802,1630591,109742,1416435}
@attribute 'rating' {rating=positive,rating=negative,rating=deceptive_positive}

@data
320562,rating=negative
320562,rating=negative
320562,rating=negative
320562,rating=positive
320562,rating=positive
320562,rating=negative
320562,rating=negative
320562,rating=negative
320562,rating=negative
320562,rating=positive
320562,rating=positive
320562,rating=negative
320562,rating=negative
320562,rating=negative
320562,rating=negative
320562,rating=negative
320562,rating=positive
320562,rating=negative
320562,rating=negative
320562,rating=positive
320562,rating=negative
320562,rating=deceptive_positive
320562,rating=negative
320562,rating=deceptive_positive
122004,rating=positive
122004,rating=positive
122004,rating=negative
122004,rating=positive
122004,rating=positive
122004,rating=positive
122004,rating=positive
122004,rating=deceptive_positive
122004,rating=negative
122004,rating=positive
122004,rating=negative
122004,rating=negative
122004,rating=positive
122004,rating=positive
122004,rating=deceptive_positive
122004,rating=positive
122004,rating=positive
122004,rating=positive
122004,rating=positive
122004,rating=negative
122004,rating=positive
122004,rating=positive
122004,rating=positive
122004,rating=negative
122004,rating=positive
122004,rating=positive
